,scenario,num_agents,Length,Success,Time
0,den312d-random-25,2,196.87005768508874,True,0.112235696
1,room-32-32-4-random-5,15,,False,1.99896987
2,ost003d-random-20,2,55.38477631085024,True,0.13040634
3,maze-128-128-10-random-3,10,,False,0.499780345
4,Berlin_1_256-random-9,10,,False,0.813628635
5,den520d-random-25,10,1996.663130372653,True,3.886586474
6,maze-128-128-2-random-12,20,,False,
7,Paris_1_256-random-16,20,,False,7.150878984
8,random-64-64-20-random-16,15,558.0315292925758,True,2.953580559
9,warehouse-20-40-10-2-2-random-23,4,,False,0.727181535
10,w_woundedcoast-random-3,20,,False,
11,maze-128-128-1-random-21,10,,False,4.893669247
12,den520d-random-5,15,2042.5941546018398,True,4.790675742
13,maze-128-128-10-random-5,15,,False,0.733944428
14,empty-16-16-random-3,4,42.627416997969526,True,0.009803105
15,random-32-32-20-random-2,4,64.21320343559643,True,0.027434565
16,Boston_0_256-random-15,15,,False,1.459337211
17,warehouse-10-20-10-2-1-random-22,4,328.254833995939,True,0.141178698
18,warehouse-20-40-10-2-2-random-11,20,,False,
19,Boston_0_256-random-23,10,,False,1.196179469
20,lak303d-random-14,20,,False,
21,random-64-64-10-random-6,20,,False,
22,Berlin_1_256-random-8,20,,False,6.919330547
23,warehouse-10-20-10-2-1-random-5,15,975.0660171779822,True,0.525294455
24,Berlin_1_256-random-17,20,,False,5.873947969
25,warehouse-10-20-10-2-2-random-11,20,,False,
26,maze-128-128-10-random-24,10,,False,0.463966614
27,empty-8-8-random-24,4,13.65685424949238,True,0.008192155
28,warehouse-20-40-10-2-2-random-8,15,,False,3.375888547
29,maze-128-128-1-random-9,4,,False,5.312417695
30,empty-48-48-random-2,15,,False,3.2597728
31,Boston_0_256-random-8,4,,False,0.814188129
32,lak303d-random-13,4,1177.2884553295698,True,1.453302119
33,w_woundedcoast-random-25,2,679.2031021678304,True,2.428231171
34,Paris_1_256-random-19,20,,False,6.799873982
35,w_woundedcoast-random-9,10,,False,5.825421372
36,den520d-random-4,10,1497.3077913133247,True,2.941097569
37,room-64-64-8-random-15,2,87.45584412271569,True,0.039639364
38,warehouse-10-20-10-2-2-random-10,2,103.49747468305833,True,0.109220742
39,lak303d-random-1,20,,False,
40,ht_chantry-random-8,2,70.55634918610404,True,0.08921908
41,maze-128-128-10-random-16,10,,False,0.537409968
42,w_woundedcoast-random-25,10,,False,6.394201643
43,den520d-random-14,4,387.0731598529186,True,0.81683362
44,empty-48-48-random-8,2,56.42640687119285,True,0.022443458
45,orz900d-random-23,2,,False,
46,warehouse-10-20-10-2-2-random-22,2,61.65685424949238,True,0.115499808
